ID,Russian,English,Turkish,Massa
с5_092,Очень боюсь,Very afraid,Çok korkmuş,3
с5_093,Конечно…о дружеских,Of course ... about friendly,Tabii ki ... dostça hakkında,5
с5_094,О каких чувствах?,What feelings?,Hangi duyguları?,1
,,,,
,,,,
сd5_095,Что тебя в нем привлекает?,What attracts you in it?,Seni içinde ne çeker?,
сd5_096,Мужественное телосложение,Mushroom physique,Mantar fizisi,5
сd5_097,Отменное чувство юмора,An excellent sense of humor,Mükemmel bir mizah anlayışı,5
сd5_098,Умение понимать и выслушать,Ability to understand and listen,Anlama ve dinleme yeteneği,5
сd5_099,Его оригинальность и необычность,Its originality and unusualness,Özgünlüğü ve olağandışı,5
сd5_100,Твой существующий парень:,Your existing guy:,Mevcut adamınız:,
сd5_101,Самостоятельный и независимый,Independent and independent,Bağımsız ve bağımsız,5
сd5_102,Эмоциональный и чувствительный,Emotional and sensitive,Duygusal ve duyarlı,5
сd5_103,Разносторонний,Versatile,Çok yönlü,5
сd5_104,Непредсказуемый,Unpredictable,Öngörülemeyen,5
сd5_105,Твои предпочтения в одежде,Your preferences in clothes,Giysilerdeki tercihleriniz,
сd5_106," Что угодно, но модное и в тренде", Anything but fashionable and trend, Şık bir şey ama eğilim,5
сd5_107,Удобная или спортивная одежда,Convenient or Sportswear,Uygun veya spor giyim,5
сd5_108,"Главное выглядеть стильно и элегантно, но не вычурно","The main thing is to look stylish and elegant, but not readily","Asıl şey şık ve zarif görünmek, ancak kolayca değil",5
сd5_109,Быть всегда разной,Be always different,Her zaman farklı olmak,5
сd5_110,Какая страна тебе нравится?,What country do you like?,Hangi ülkeyi seversin?,
сd5_111,Китай,China,Çin,5
сd5_112,США,USA,Amerika Birleşik Devletleri,5
сd5_113,Россия,Russia,Rusya,5
сd5_114,Другая,Other,Diğer,5
сd5_115,Собираясь на отдых..,Going to rest ..,Dinlenecek ..,
сd5_116,"Все собирает, а ты только подсказываешь","Everything collects, and you just suggest",Her şey toplar ve sen sadece önerirsin,3
сd5_117,Все делаете вместе,All do together,Hepsi birlikte yapar,5
сd5_118,"Ты собираешь, а он иногда помогает","You collect, and he sometimes helps",Topladın ve bazen yardımcı olur,3
сd5_119,Каждый собирает свое,Everyone collects him,Herkes onu toplar,5
сd5_120,Твой любимый супергерой...,Your favorite superhero ...,En sevdiğiniz süper kahraman ...,
сd5_121,Дэдпул,Dadpool,Damak,5
сd5_122,Железный человек,iron Man,Demir Adam,5
сd5_123,Капитан Америка,Captain America,Kaptan Amerika,5
сd5_124,Бэтмен,Batman.,Yarasa Adam.,5
сd5_125,Твой самый желанный подарок на день рождения..,Your most desired birthday present ..,En çok istediğiniz doğum günü hediyen ..,
сd5_126,Драгоценности,Jewelry,Takı,3
сd5_127,Ужин в любимом ресторане,Dinner in your favorite restaurant,En sevdiğiniz restoranda akşam yemeği,5
сd5_128,Предложение руки и сердца,Marriage proposal,Evlilik teklifi,5
сd5_129,"Путешествие туда, где еще не бывала","Traveling there, where there has not been","Orada seyahat etme, nerede olmadığı",5
сd5_130,Твоя любимая еда...,Your favorite meal ...,En sevdiğin yemek ...,
сd5_131,"Гамбургер, картошка фри","Hamburger, Potato Fries","Hamburger, patates kızartması",5
сd5_132,Фрукты и овощи,Fruits and vegetables,Meyve ve sebzeler,5
сd5_133,Мясо и рыба,Meat and fish,Et ve Balık,5
сd5_134,Другое,Other,Diğer,5
